FileName,PSL-Time taken(2loops+unfoldedTraces),PSL-Size(2loops+unfoldedTraces),PSL-Formula Generated(2loops+unfoldedTraces),LTL-Time taken,LTL-Size,LTL-Formula Generated,Frequency of Size DataPoint
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/250traces;len:5;vars:2.trace,187.45556783676147,5,(G (x0 & (X x1))),94.4543783729896,5,(G (x0 & (X x1))),51
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/50traces;len:5;vars:1.trace,191.30146551132202,5,((* (true . true)) |-> x0),46.27131742518395,6,((X x0) & (G (x0 -> (X (X x0))))),17
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/250traces;len:5;vars:3.trace,197.45970058441162,5,(G (x0 & (X x1))),88.97016403637826,5,(G (x0 & (X x1))),51
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/25traces;len:7;vars:1.trace,200.70146322250366,5,((* (true . true)) |-> x0),139.43020438589156,7,((x0 -> (x0 & (X (X x0)))) & (X (x0 & (X (X x0))))),17
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/50traces;len:15;vars:2.trace,200.9001269340515,4,((x0 . x0) |-> x1),77.80113653838634,5,(x0 -> (X (x0 -> x1))),15
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/500traces;len:11;vars:3.trace,218.18638014793396,4,(G (x0 & x1)),191.1346696605906,4,(G (x0 & x1)),32
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/50traces;len:5;vars:2.trace,221.91902875900269,5,((* (true . true)) |-> x0),1288.010661191307,7,((X x0) & (G ((X (X (X x0))) U x0))),17
allTests/generatedTracesFromPSL/(((x0 . x1) *) |-> x2)/25traces;len:7;vars:3.trace,252.8743417263031,5,((x0 . x1) |-> x2),38.33482708130032,6,(x0 -> (X (x1 -> x2))),17
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/25traces;len:7;vars:3.trace,267.6801669597626,5,((* (x0 . x0)) |-> x1),141.51899604965,7,((x0 & (X x0)) -> (G (x0 -> x1))),17
allTests/generatedTracesFromPSL/(((x0 . x1) *) |-> x2)/50traces;len:5;vars:3.trace,291.7855908870697,5,((x0 . x1) |-> x2),46.4962481148541,6,(x0 -> (X (x1 -> x2))),17
